Label,Attempted Category,n_rows
BENIGN,-1,1582566
Botnet,-1,736
Botnet - Attempted,1,4067
DDoS,-1,95144
DoS GoldenEye,-1,7567
DoS GoldenEye - Attempted,0,80
DoS Hulk,-1,158468
DoS Hulk - Attempted,0,579
DoS Hulk - Attempted,4,2
DoS Slowhttptest,-1,1740
DoS Slowhttptest - Attempted,0,563
DoS Slowhttptest - Attempted,4,1
DoS Slowhttptest - Attempted,6,2804
DoS Slowloris,-1,3859
DoS Slowloris - Attempted,0,1705
DoS Slowloris - Attempted,2,3
DoS Slowloris - Attempted,4,1
DoS Slowloris - Attempted,5,138
FTP-Patator,-1,3972
FTP-Patator - Attempted,0,10
FTP-Patator - Attempted,2,2
Heartbleed,-1,11
Infiltration,-1,36
Infiltration - Attempted,0,42
Infiltration - Attempted,2,3
Infiltration - Portscan,-1,71767
Portscan,-1,159066
SSH-Patator,-1,2961
SSH-Patator - Attempted,3,27
Web Attack - Brute Force,-1,73
Web Attack - Brute Force - Attempted,0,1214
Web Attack - Brute Force - Attempted,2,7
Web Attack - Brute Force - Attempted,4,71
Web Attack - SQL Injection,-1,13
Web Attack - SQL Injection - Attempted,0,1
Web Attack - SQL Injection - Attempted,2,4
Web Attack - XSS,-1,18
Web Attack - XSS - Attempted,0,651
Web Attack - XSS - Attempted,2,4
