basis,scenario,Label,n_rows
raw_predup,S0,BENIGN,1582566
raw_predup,S0,Portscan,159066
raw_predup,S0,DoS Hulk,158468
raw_predup,S0,DDoS,95144
raw_predup,S0,Infiltration - Portscan,71767
raw_predup,S0,DoS GoldenEye,7567
raw_predup,S0,Botnet - Attempted,4067
raw_predup,S0,FTP-Patator,3972
raw_predup,S0,DoS Slowloris,3859
raw_predup,S0,DoS Slowhttptest - Attempted,3368
raw_predup,S0,SSH-Patator,2961
raw_predup,S0,DoS Slowloris - Attempted,1847
raw_predup,S0,DoS Slowhttptest,1740
raw_predup,S0,Web Attack - Brute Force - Attempted,1292
raw_predup,S0,Botnet,736
raw_predup,S0,Web Attack - XSS - Attempted,655
raw_predup,S0,DoS Hulk - Attempted,581
raw_predup,S0,DoS GoldenEye - Attempted,80
raw_predup,S0,Web Attack - Brute Force,73
raw_predup,S0,Infiltration - Attempted,45
raw_predup,S0,Infiltration,36
raw_predup,S0,SSH-Patator - Attempted,27
raw_predup,S0,Web Attack - XSS,18
raw_predup,S0,Web Attack - SQL Injection,13
raw_predup,S0,FTP-Patator - Attempted,12
raw_predup,S0,Heartbleed,11
raw_predup,S0,Web Attack - SQL Injection - Attempted,5
raw_predup,S1,BENIGN,1582566
raw_predup,S1,Portscan,159066
raw_predup,S1,DDoS,95144
raw_predup,S1,Infiltration - Portscan,71767
raw_predup,S1,DoS GoldenEye,7567
raw_predup,S1,Botnet - Attempted,4067
raw_predup,S1,FTP-Patator,3972
raw_predup,S1,DoS Slowloris,3859
raw_predup,S1,DoS Slowhttptest - Attempted,3368
raw_predup,S1,SSH-Patator,2961
raw_predup,S1,DoS Slowloris - Attempted,1847
raw_predup,S1,DoS Slowhttptest,1740
raw_predup,S1,Web Attack - Brute Force - Attempted,1292
raw_predup,S1,Botnet,736
raw_predup,S1,Web Attack - XSS - Attempted,655
raw_predup,S1,DoS GoldenEye - Attempted,80
raw_predup,S1,Web Attack - Brute Force,73
raw_predup,S1,Infiltration - Attempted,45
raw_predup,S1,Infiltration,36
raw_predup,S1,SSH-Patator - Attempted,27
raw_predup,S1,Web Attack - XSS,18
raw_predup,S1,Web Attack - SQL Injection,13
raw_predup,S1,FTP-Patator - Attempted,12
raw_predup,S1,Heartbleed,11
raw_predup,S1,Web Attack - SQL Injection - Attempted,5
raw_predup,S3,BENIGN,1582566
raw_predup,S3,Portscan,159066
raw_predup,S3,DDoS,95144
raw_predup,S3,Infiltration - Portscan,71767
raw_predup,S3,DoS GoldenEye,7567
raw_predup,S3,FTP-Patator,3972
raw_predup,S3,DoS Slowloris,3859
raw_predup,S3,SSH-Patator,2961
raw_predup,S3,DoS Slowhttptest,1740
raw_predup,S3,Botnet,736
raw_predup,S3,Web Attack - Brute Force,73
raw_predup,S3,Infiltration,36
raw_predup,S3,Web Attack - XSS,18
raw_predup,S3,Web Attack - SQL Injection,13
raw_predup,S3,Heartbleed,11
