label,column,n_rows_label,n_unique_values,top10_coverage
BENIGN,Dst Port,1582566,4027,0.988505376710987
BENIGN,Protocol,1582566,4,1.0
BENIGN,Fwd PSH Flags,1582566,257,0.9752174632843117
BENIGN,Bwd PSH Flags,1582566,530,0.9576042958082001
BENIGN,Fwd URG Flags,1582566,1,1.0
BENIGN,Bwd URG Flags,1582566,2,1.0
BENIGN,Fwd RST Flags,1582566,65,0.9996177094667774
BENIGN,Bwd RST Flags,1582566,11,0.9999993681148212
BENIGN,FIN Flag Count,1582566,22,0.9999406027931852
BENIGN,SYN Flag Count,1582566,18,0.9999829391001702
BENIGN,RST Flag Count,1582566,66,0.999609494959452
BENIGN,PSH Flag Count,1582566,636,0.9210269903435307
BENIGN,URG Flag Count,1582566,2,1.0
BENIGN,CWR Flag Count,1582566,9,1.0
BENIGN,ECE Flag Count,1582566,3,1.0
BENIGN,Fwd Bytes/Bulk Avg,1582566,4427,0.9660178469649923
BENIGN,Fwd Packet/Bulk Avg,1582566,88,0.998621858424862
BENIGN,Fwd Bulk Rate Avg,1582566,27558,0.9505821558153025
BENIGN,Bwd Bytes/Bulk Avg,1582566,45443,0.9055900354234832
BENIGN,Bwd Packet/Bulk Avg,1582566,822,0.9682319726317892
BENIGN,Subflow Fwd Packets,1582566,2,1.0
BENIGN,Subflow Bwd Packets,1582566,2,1.0
BENIGN,FWD Init Win Bytes,1582566,4087,0.9789139915807619
BENIGN,Fwd Act Data Pkts,1582566,315,0.944430753598902
BENIGN,Fwd Seg Size Min,1582566,8,1.0
BENIGN,ICMP Code,1582566,5,1.0
BENIGN,ICMP Type,1582566,5,1.0
BENIGN,Attempted Category,1582566,1,1.0
Botnet,Dst Port,736,1,1.0
Botnet,Protocol,736,1,1.0
Botnet,Total Fwd Packet,736,22,0.9809782608695652
Botnet,Total Bwd packets,736,35,0.9660326086956522
Botnet,Total Length of Fwd Packet,736,54,0.936141304347826
Botnet,Total Length of Bwd Packet,736,4,1.0
Botnet,Fwd Packet Length Max,736,27,0.9510869565217391
Botnet,Fwd Packet Length Min,736,1,1.0
Botnet,Fwd Packet Length Mean,736,61,0.9184782608695652
Botnet,Fwd Packet Length Std,736,62,0.9184782608695652
Botnet,Bwd Packet Length Max,736,2,1.0
Botnet,Bwd Packet Length Min,736,1,1.0
Botnet,Bwd Packet Length Mean,736,38,0.9605978260869565
Botnet,Bwd Packet Length Std,736,38,0.9605978260869565
Botnet,Fwd PSH Flags,736,1,1.0
Botnet,Bwd PSH Flags,736,2,1.0
Botnet,Fwd URG Flags,736,1,1.0
Botnet,Bwd URG Flags,736,1,1.0
Botnet,Fwd RST Flags,736,1,1.0
Botnet,Bwd RST Flags,736,1,1.0
Botnet,Fwd Header Length,736,22,0.9809782608695652
Botnet,Bwd Header Length,736,35,0.9660326086956522
Botnet,Packet Length Min,736,1,1.0
