group_id,group_size,sampled_rows,sample_truncated,day,id,Label,binary_label,Protocol,Flow Duration,Total Fwd Packet,Total Length of Fwd Packet,Total Length of Bwd Packet,Flow Bytes/s,SYN Flag Count,RST Flag Count,ACK Flag Count
g_b5e2a3799fa8882e_0,958,20,True,wednesday,468411,BENIGN,0,TCP,57.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
g_b5e2a3799fa8882e_0,958,20,True,friday,70021,Portscan,1,TCP,57.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
g_b5e2a3799fa8882e_0,958,20,True,friday,70292,Portscan,1,TCP,57.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
g_b5e2a3799fa8882e_0,958,20,True,friday,78880,Portscan,1,TCP,57.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
g_b5e2a3799fa8882e_0,958,20,True,friday,142410,Portscan,1,TCP,57.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
g_b5e2a3799fa8882e_0,958,20,True,friday,144182,Portscan,1,TCP,57.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
g_b5e2a3799fa8882e_0,958,20,True,friday,144257,Portscan,1,TCP,57.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
g_b5e2a3799fa8882e_0,958,20,True,friday,144444,Portscan,1,TCP,57.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
g_b5e2a3799fa8882e_0,958,20,True,friday,144525,Portscan,1,TCP,57.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
g_b5e2a3799fa8882e_0,958,20,True,friday,145074,Portscan,1,TCP,57.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
g_b5e2a3799fa8882e_0,958,20,True,friday,145546,Portscan,1,TCP,57.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
g_b5e2a3799fa8882e_0,958,20,True,friday,145625,Portscan,1,TCP,57.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
g_b5e2a3799fa8882e_0,958,20,True,friday,148894,Portscan,1,TCP,57.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
