split_method,Label,total_rows,train_rows,test_rows,test_ratio,absolute_deviation_from_0_25
group_seed42,BENIGN,1582566,1186924,395642,0.2500003159425894,3.1594258942391207e-07
group_seed42,Botnet,736,552,184,0.25,0.0
group_seed42,DDoS,95144,71358,23786,0.25,0.0
group_seed42,DoS GoldenEye,7567,5675,1892,0.2500330381921501,3.303819215011439e-05
group_seed42,DoS Slowhttptest,1740,1305,435,0.25,0.0
group_seed42,DoS Slowloris,3859,2894,965,0.2500647836227002,6.47836227001819e-05
group_seed42,FTP-Patator,3972,2979,993,0.25,0.0
group_seed42,Heartbleed,11,8,3,0.2727272727272727,0.022727272727272707
group_seed42,Infiltration,36,27,9,0.25,0.0
group_seed42,Infiltration - Portscan,71767,53825,17942,0.25000348349519974,3.4834951997408936e-06
group_seed42,Portscan,159066,119300,39766,0.24999685665069846,3.1433493015431413e-06
group_seed42,SSH-Patator,2961,2221,740,0.24991556906450524,8.443093549476144e-05
group_seed42,Web Attack - Brute Force,73,55,18,0.2465753424657534,0.003424657534246589
group_seed42,Web Attack - SQL Injection,13,10,3,0.23076923076923078,0.019230769230769218
group_seed42,Web Attack - XSS,18,14,4,0.2222222222222222,0.02777777777777779
row_random_seed42,BENIGN,1582566,1186924,395642,0.2500003159425894,3.1594258942391207e-07
row_random_seed42,Botnet,736,552,184,0.25,0.0
row_random_seed42,DDoS,95144,71358,23786,0.25,0.0
row_random_seed42,DoS GoldenEye,7567,5675,1892,0.2500330381921501,3.303819215011439e-05
row_random_seed42,DoS Slowhttptest,1740,1305,435,0.25,0.0
row_random_seed42,DoS Slowloris,3859,2894,965,0.2500647836227002,6.47836227001819e-05
row_random_seed42,FTP-Patator,3972,2979,993,0.25,0.0
row_random_seed42,Heartbleed,11,8,3,0.2727272727272727,0.022727272727272707
row_random_seed42,Infiltration,36,27,9,0.25,0.0
row_random_seed42,Infiltration - Portscan,71767,53825,17942,0.25000348349519974,3.4834951997408936e-06
row_random_seed42,Portscan,159066,119300,39766,0.24999685665069846,3.1433493015431413e-06
row_random_seed42,SSH-Patator,2961,2221,740,0.24991556906450524,8.443093549476144e-05
row_random_seed42,Web Attack - Brute Force,73,55,18,0.2465753424657534,0.003424657534246589
row_random_seed42,Web Attack - SQL Injection,13,10,3,0.23076923076923078,0.019230769230769218
row_random_seed42,Web Attack - XSS,18,14,4,0.2222222222222222,0.02777777777777779
